date,open,high,low,close,volume,title,description,title_sentiment,desc_sentiment,daily_change_pct,market_sentiment,next_day_change_pct,next_day_sentiment
2017-12-18 13:01:39.769,1195.5,1208.5,1192.0,1203.0,218041.0,"Market Now: BSE Capital Goods index in the green; ABB India, Siemens among top gainers","Benchmark NSE Nifty50 index was 66 points up at 10,399, BSE Sensex was 214 points up at 33,677.",neutral,positive,0.6273525721455459,neutral,-0.7475083056478405,neutral
2017-12-22 13:02:49.835,1249.5,1254.0,1225.0,1225.55,225377.0,We see more export opportunities for Siemens in India: Ralf Christian,"Siemens senior executives Ralf Christian and Harald Griem on the firm’s growing focus on India as a manufacturing and export destination, and the emerging growth opportunities of renewable energy and electric vehicles",positive,neutral,-1.9167667066826768,negative,0.4388103364212653,neutral
2017-12-22 18:02:49.726,1249.5,1254.0,1225.0,1225.55,225377.0,Indian government is pushing the right buttons for growth: Siemens,"Watch the interview of Roland Busch, Chief Technology Officer of Siemens with Archana Shukla of CNBC-TV18, where he spoke about the company betting big on India and eyeing an even faster growth in the Indian market. ",neutral,neutral,-1.9167667066826768,negative,0.4388103364212653,neutral
2018-01-08 13:02:57.579,1315.0,1311.9,1291.2,1297.95,288030.0,Siemens Gamesa is said to be in talks on 700 MW wind deals in Brazil,Siemens Gamesa deals are to supply equipment for projects that are being developed by four wind power generation firms in northeast Brazil,neutral,neutral,-1.2965779467680574,negative,-0.5147115310747519,neutral
2018-01-21 13:00:15.853,1290.0,1322.0,1288.55,1319.55,228469.0,"WEF Davos 2018: Goyal eyes investments in Railways from VW, Siemens, others","Goyal expected to speak on India's plans to transition to alternative energy sources, partnering on energy solutions, finding transport solutions",neutral,neutral,2.290697674418601,positive,-0.7088989441930686,neutral
2018-01-22 13:01:54.906,1326.0,1332.0,1312.0,1316.6,147818.0,"WEF 2018: Transport, energy solutions high on Piyush Goyal's agenda in Davos","Railways and Coal Minister Piyush Goyal will meet top bosses of multinational companies like Philips, Hitachi, Hewlett Packard, Volkswagen and Siemens in Davos where he is accompanying Prime Minister Narendra Modi and other Union ministers for the World E",neutral,neutral,-0.7088989441930686,neutral,-0.4756468797564688,neutral
2018-01-22 18:00:21.131,1326.0,1332.0,1312.0,1316.6,147818.0,Siemens Gamesa wins orders to install 326 MW by March 2018 ,"Siemens Gamesa Renewable Energy has announced it has won multiple wind power orders, a",positive,positive,-0.7088989441930686,neutral,-0.4756468797564688,neutral
2018-01-23 13:03:30.633,1314.0,1329.8,1301.75,1307.75,252311.0,Siemens Gamesa bags orders for 326MW wind power capacities,Siemens Gamesa will install 135 units of its G114-2.0MW wind turbines and 28 units of its G97-2.0MW wind turbines across different sites which are set for commissioning by March 2018,neutral,neutral,-0.4756468797564688,neutral,-0.7022256331542664,neutral
2018-02-05 18:00:39.163,1230.0,1269.0,1204.6,1255.25,456249.0,Siemens to help Indian Navy modernise old ships,"Siemens has set up a medium voltage lab at INS Valsura, the Indian Navy's oldest training establishment near Jamnagar, to familiarise and train navy engineers and technical seamen on electric propulsion.",neutral,neutral,2.0528455284552845,positive,-3.73015873015873,negative
2018-02-06 13:00:41.065,1260.0,1278.75,1210.0,1213.0,214542.0,"Sell Ambuja Cements, Siemens: Prakash Gaba",Prakash Gaba of prakashgaba.com is of the view that one can sell Ambuja Cements and Siemens.,neutral,neutral,-3.73015873015873,negative,0.566037735849064,neutral
2018-02-23 13:02:30.752,1173.2,1188.8,1158.3,1173.0,446371.0,Siemens slips 3% as global brokerages maintain sell rating,The company's board in its meeting held on February 21 has approved to sell its mobility division and rail traction drives business Siemens AG or its subsidiary.,negative,neutral,-0.0170473917490662,neutral,-0.5106382978723404,neutral
2018-02-23 18:00:30.316,1173.2,1188.8,1158.3,1173.0,446371.0,"Siemens extends fall on board nod for sale of mobility, rail traction ops","The stock dipped 3% to Rs 1,159 on Friday in intra-day trade, extending its Thursday's 4% fall on the BSE.",neutral,negative,-0.0170473917490662,neutral,-0.5106382978723404,neutral
2018-02-28 13:01:13.289,1175.65,1178.0,1150.05,1152.05,111153.0,Siemens unit’s IPO value is said to slip toward $32 billion,Executives at Siemens Healthineers are still meeting investors to gauge their appetite ahead of disclosing later this week a price range for the IPO,negative,neutral,-2.007400161612736,negative,-0.9540329575021684,negative
2018-03-12 13:00:58.666,1123.0,1125.7,1093.05,1118.0,139761.0,"Indian Platform’s an Enabler For Global Competitiveness: Henri Poupart-Lafarge, Alstom","Chairman Henri Poupart-Lafarge said that Alstoms proposed merger with Siemens Mobility will bring more investments and solutions to India, its fastest-growing market outside France",neutral,positive,-0.4452359750667853,neutral,1.1298163485775976,positive
2018-03-12 18:01:34.039,1123.0,1125.7,1093.05,1118.0,139761.0,"We want to partner India in its growth story: Sunil Mathur, Siemens",“I am positive that the Make in India programme will really take the country to the next level.”,neutral,positive,-0.4452359750667853,neutral,1.1298163485775976,positive
2018-03-15 18:00:34.140,1123.0,1129.35,1097.0,1109.0,205068.0,Siemens Is Out for Blood Samples in $35 Billion Health-Care IPO,Siemens Is Out for Blood Samples in $35 Billion Health-Care IPO,neutral,neutral,-1.2466607301869992,negative,-2.15633423180593,negative
